"synonym_name","synonym_concept_code","synonym_vocabulary_id"
"E7389","197","HemOnc"
"NSC-707389","197","HemOnc"
"eribulin mesylate","197","HemOnc"
"Eribulin","197","HemOnc"
"ER 086526","197","HemOnc"
"NSC 707389","197","HemOnc"
"ER086526","197","HemOnc"
"NSC707389","197","HemOnc"
"E-7389","197","HemOnc"
"E 7389","197","HemOnc"
"erlotinib hydrochloride","198","HemOnc"
"OSI-774","198","HemOnc"
"CP-358","198","HemOnc"
"CP-774","198","HemOnc"
"Erlotinib","198","HemOnc"
"OSI 774","198","HemOnc"
"CP 358","198","HemOnc"
"CP 774","198","HemOnc"
"OSI774","198","HemOnc"
"CP358","198","HemOnc"
"CP774","198","HemOnc"
"estradiol valerate","199","HemOnc"
"estrogens conjugated","199","HemOnc"
"estrogens esterified","199","HemOnc"
"Estradiol","199","HemOnc"
"estramustine phosphate sodium","200","HemOnc"
"Estramustine","200","HemOnc"
"VP 16213","201","HemOnc"
"etoposide phosphate","201","HemOnc"
"VP-16","201","HemOnc"
